"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
-1,-0.5,-0.2,0.25,0.7,0.3,-0.878076365950831,-0.518586354310412,-0.254852844707754,0.545997384688573,0.720679791840463,0.0701706236698312,0.126947405235386,0.0801807470741861,0.0685407108341164,0.479070946453101,0.284322948757731,0.267642740189926
-1,-0.5,-0.2,0.25,0.7,0.3,-0.872631284618058,-0.447965884809355,-0.261223166328768,0.463227342182611,0.569080096611307,0.103869519861899,0.120847673667435,0.073486225273896,0.0716027496713357,0.414757597908842,0.319386854493631,0.247774199864943
-1,-0.5,-0.2,0.25,0.7,0.3,-0.967598562465717,-0.62259116073899,-0.236735601110365,0.0744206302118054,0.764830204166661,0.373766326007397,0.103171187172558,0.0736424974069702,0.0732088179780796,0.478764407581679,0.284110490912242,0.272256866351446
-1,-0.5,-0.2,0.25,0.7,0.3,-0.989543937851969,-0.630987525616632,-0.220410875831635,-0.235765473163496,0.465702146713065,0.446767626114178,0.100822576917905,0.0826986962355761,0.0776097338385887,0.380584346453093,0.195145899697919,0.276334284320164
-1,-0.5,-0.2,0.25,0.7,0.3,-1.00870643079509,-0.412768151082074,-0.296365002135179,0.324436710635142,0.253727400392256,-0.104108076780848,0.157813853502689,0.0881832324313482,0.0856074151583324,0.485403011138436,0.270592763994038,0.33331197412887
-1,-0.5,-0.2,0.25,0.7,0.3,-1.0922297382575,-0.383403370946753,-0.208502434099527,-0.0656260028081395,0.692093456657572,0.472347585100301,0.0938576261255573,0.071483909629451,0.0680254824190325,0.417791805935439,0.253139764187084,0.260003074556813
-1,-0.5,-0.2,0.25,0.7,0.3,-0.905226652191365,-0.508137572834727,-0.258149843826625,0.0716733923487835,0.414223864910039,0.488400063687372,0.0897567819782959,0.0816763278254463,0.0730743845349133,0.458002016295453,0.275585470258684,0.262857878313316
-1,-0.5,-0.2,0.25,0.7,0.3,-0.992701267354223,-0.417508923491747,-0.179933675085829,0.576780201648977,1.23779701386133,0.140283089689316,0.119082851221717,0.0817237017625785,0.065185807090607,0.514705359755936,0.36039288153848,0.238398810286334
-1,-0.5,-0.2,0.25,0.7,0.3,-0.985895539176722,-0.427981662326924,-0.1365786620822,0.248213312425554,0.460122819871367,0.06104482468769,0.134739604814438,0.0848861283935403,0.0865929440162794,0.489274828548599,0.298437985855097,0.309791994493771
-1,-0.5,-0.2,0.25,0.7,0.3,-0.932600680212253,-0.339621052940432,-0.151096206432999,0.950383930607118,0.925842553189329,-0.0936624183613696,0.139138041941119,0.0798974205678043,0.0671025035414344,0.605868542235348,0.435217211759364,0.253856560337787
-1,-0.5,-0.2,0.25,0.7,0.3,-1.08019921321145,-0.566103086120483,-0.110826619797353,-0.311823240652065,0.67651735110326,0.808189123719348,0.074017019996846,0.0654343406832407,0.0642853497703913,0.469923780706782,0.259338554188545,0.279032859323867
-1,-0.5,-0.2,0.25,0.7,0.3,-1.18451444963362,-0.479365137095353,-0.196391655005209,0.105859381028181,0.87284685768714,0.544809689454999,0.0870980794353367,0.0658658094464917,0.059950343529321,0.445504372708419,0.291526859322951,0.237060917170108
-1,-0.5,-0.2,0.25,0.7,0.3,-1.05556527301395,-0.477377163549061,-0.139899246600538,-0.0305957883517573,0.485807302485074,0.440631042170372,0.0952275274414291,0.0724476770571721,0.0620845950347609,0.401603410543253,0.233456935291204,0.265026240366176
-1,-0.5,-0.2,0.25,0.7,0.3,-1.07177847748568,-0.428259322658234,-0.167907408807751,0.57491872207705,0.603568980151647,0.0803176641258598,0.126498459070639,0.0929730690409323,0.0700953327681914,0.559286610833609,0.304842575106187,0.315126650538702
-1,-0.5,-0.2,0.25,0.7,0.3,-0.895691989855071,-0.589821060209005,-0.169323472569754,0.169558746514456,0.672897209394686,0.229769232307685,0.110594658371502,0.081559449628983,0.072780330895649,0.399771069972099,0.275737317489859,0.248251949772973
-1,-0.5,-0.2,0.25,0.7,0.3,-0.919461185750321,-0.415559413779461,-0.230846590614527,0.0838840897191483,0.32064217360689,0.25341354321062,0.112360243259426,0.0820537561436257,0.0749917650053021,0.391253100090221,0.220911003886804,0.274183021368942
-1,-0.5,-0.2,0.25,0.7,0.3,-1.07691059953859,-0.455063318547243,-0.202141105223983,-0.193950836225169,0.274863501741124,0.578008211970255,0.0857075084456971,0.0671335544791064,0.0681009013510555,0.391415377871849,0.20057849526302,0.269494736023414
-1,-0.5,-0.2,0.25,0.7,0.3,-1.05171954691834,-0.595145222907917,-0.206749914451095,0.836426003570563,1.05534450703431,0.206335496804017,0.106475172730183,0.0695373237879341,0.0587079286959806,0.565357250931195,0.43053707513501,0.219964399911868
-1,-0.5,-0.2,0.25,0.7,0.3,-0.966268246635766,-0.390291189766214,-0.260974028503823,0.212537803121979,0.240318394430265,0.357111571940539,0.0994140551300441,0.0695365446178244,0.0744361572353736,0.452336295690738,0.247977468236038,0.270569634039222
-1,-0.5,-0.2,0.25,0.7,0.3,-0.986164084528458,-0.583911488063769,-0.218962141769284,-0.108028732916154,0.508781772317696,0.621880514748754,0.0809403349835025,0.0694909855746367,0.0662035435764308,0.382820006294138,0.230756980305551,0.24161394145976
-1,-0.5,-0.2,0.25,0.7,0.3,-1.15925124538959,-0.48444223234143,-0.219921882846073,0.110712097519878,0.849474569967695,0.498932695419801,0.0918142081344061,0.0753076478463322,0.0598300347530101,0.482441014791672,0.296186734566883,0.248744425531173
-1,-0.5,-0.2,0.25,0.7,0.3,-0.998322837219274,-0.398608008692316,-0.237605019010984,0.158779002672049,0.517992087173246,0.224133266332166,0.11258799598499,0.0741817945905858,0.0722133932990105,0.39427581539768,0.25770966879247,0.257518341736869
-1,-0.5,-0.2,0.25,0.7,0.3,-1.08078157626738,-0.374091241904546,-0.248105382927078,0.501676761950611,0.534144547322169,0.235154905090558,0.109052490311444,0.0751615543746933,0.0693558137102066,0.52128067672678,0.305949815453583,0.273716496045497
-1,-0.5,-0.2,0.25,0.7,0.3,-1.19792203542886,-0.446395666733847,-0.133927441858293,0.0178213493170066,0.419182023354598,0.49124792211717,0.0906846584277786,0.0684698832116954,0.0643911249075648,0.415797541463502,0.226544189950446,0.263275826005953
-1,-0.5,-0.2,0.25,0.7,0.3,-1.09264675896919,-0.650825454214748,-0.358542648244661,0.36657932307418,0.883464670275687,0.49832134100432,0.085453175511086,0.0660350691694337,0.0605233518925846,0.454542386610362,0.31420760017915,0.217205465580485
-1,-0.5,-0.2,0.25,0.7,0.3,-0.883465438745619,-0.520200071552154,-0.293918693951408,0.24704562359228,0.558417531686278,0.133084128132035,0.12137498555249,0.0777186534988994,0.072297998268522,0.3786094287034,0.246956763895274,0.261085586242417
-1,-0.5,-0.2,0.25,0.7,0.3,-0.916960492965662,-0.590836016558554,-0.144801611955793,0.280832713792931,0.648312920033652,0.309008097880828,0.102885839741548,0.0733144643254599,0.0704042803231693,0.416871311009641,0.272651202261568,0.242162115475552
-1,-0.5,-0.2,0.25,0.7,0.3,-0.953464143978479,-0.605661362052681,-0.144888885165166,0.533968887959054,1.28764127209213,0.340833467859251,0.0990527295113862,0.0731410140455324,0.0554327790776022,0.486101902737454,0.421561098986784,0.20089981175929
-1,-0.5,-0.2,0.25,0.7,0.3,-0.978177622521813,-0.664835959342861,-0.213679756717719,-0.0916268770697918,0.401028252445299,0.471291476508572,0.0932624698434701,0.0759553947348564,0.0674352410737724,0.378897788524938,0.214664681724755,0.266966058222865
-1,-0.5,-0.2,0.25,0.7,0.3,-1.03736516421087,-0.458894125297606,-0.196593315321032,0.173046353527565,0.687370938018468,0.477929109140896,0.0897121407470264,0.0659619378770326,0.0652287247358464,0.448542514861278,0.266811808306886,0.247633176156187
-1,-0.5,-0.2,0.25,0.7,0.3,-1.14615668999731,-0.310274795804229,-0.0928554202922695,-0.131457563083639,0.362183407798123,0.422065705053491,0.100630618666588,0.0765246084834746,0.0704183267287044,0.378165568350359,0.224408930757716,0.270932230451418
