"scenario","p","n","reps","mean_iter","sd_iter","mean_time","sd_time"
"nu_1_05","p1",50,1000,91.207,61.839471790041,1.0702031929493,0.66842558169236
"nu_1_05","p1",100,1000,126.277,78.6786158723932,2.04755878090858,1.19953935136581
"nu_1_05","p1",200,1000,162.987,88.4337455859377,4.24266670870781,2.18692087882197
"nu_1_05","p1",500,1000,222.986,102.690725916166,12.0066765735149,5.35312491934141
"nu_1_05","p2",50,1000,139.319,180.348420541439,2.36475653076172,5.54935031031169
"nu_1_05","p2",100,1000,163.263,175.383885629035,3.5140865445137,7.49036589036269
"nu_1_05","p2",200,1000,191.808,166.248421567465,6.16653279399872,10.9529058951629
"nu_1_05","p2",500,1000,226.885,130.586249442824,12.4492832362652,12.3198250538861
"nu_1_1","p1",50,1000,81.119,61.0618980575808,0.960950861692428,0.662402200655711
"nu_1_1","p1",100,1000,107.455,75.6525960578372,1.77397070479393,1.16164436662167
"nu_1_1","p1",200,1000,132.291,82.2192211062554,3.49698713850975,2.03796345729074
"nu_1_1","p1",500,1000,164.665,83.923798644836,8.96772808504105,4.4071339903054
"nu_1_1","p2",50,1000,104.649,146.38798872258,1.75720717406273,4.92318064624492
"nu_1_1","p2",100,1000,115.589,123.334721520473,2.31560158681869,5.18429480967751
"nu_1_1","p2",200,1000,126.773,84.1407578890168,3.47824763202667,3.30660315857968
"nu_1_1","p2",500,1000,159.681,84.0151878578557,8.46151981306076,4.31912148016868
"nu_1_25","p1",50,1000,50.859,45.8114593612647,0.639162316083908,0.503936752085965
"nu_1_25","p1",100,1000,60.507,54.2756095570818,1.05804732108116,0.846474850200124
"nu_1_25","p1",200,1000,65.776,48.3099749293837,1.8559303393364,1.27212479666758
"nu_1_25","p1",500,1000,71.908,33.792831954299,4.17246956396103,1.91741764589055
"nu_1_25","p2",50,1000,52.653,69.6000916936448,0.72118328332901,1.8271608041335
"nu_1_25","p2",100,1000,57.873,53.7472384093977,1.02389925599098,0.836439268288824
"nu_1_25","p2",200,1000,61.387,42.7038974082443,1.74593278336525,1.11028244927561
"nu_1_25","p2",500,1000,69.574,32.0249296661229,4.04713915681839,1.81417160363404
"nu_1_5","p1",50,1000,30.638,22.9822352946605,0.433051149129868,0.261909430029819
"nu_1_5","p1",100,1000,29.814,19.4977323185432,0.593664258480072,0.329566021422379
"nu_1_5","p1",200,1000,28.964,14.495268773528,0.912705499649048,0.419845608690457
"nu_1_5","p1",500,1000,27.427,11.7181050082761,1.71189543223381,0.726137092688573
"nu_1_5","p2",50,1000,30.903,38.3797680763915,0.438176186323166,0.44114420182234
"nu_1_5","p2",100,1000,28.378,19.4432805142845,0.571170341014862,0.328792306977235
"nu_1_5","p2",200,1000,26.922,13.33040193001,0.855427906990051,0.383785402265409
"nu_1_5","p2",500,1000,25.923,11.4491114569277,1.6196912484169,0.697746598379707
