"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
1,0.5,0.2,0.5,0.4,-0.2,1.02070768082157,0.618669229787391,0.244913379716646,0.562703968817158,0.34816995757455,0.255556311909825,0.0984741900907498,0.0901469316293707,0.0802939967980931,0.077615773850902,0.0738303390775392,0.045012867282413,0.138724681289471,0.1282682986809,0.105101062851574,0.238615394925587,0.146918018134374,0.970173808904205
1,0.5,0.2,0.5,0.4,-0.2,1.04787499753363,0.285123984636498,0.100220837135349,0.373915926855202,0.709927829078552,-0.448427984053919,0.0983201830819143,0.0984392826331532,0.0563971899057177,0.042383716233752,0.0508344243262545,0.046150347508029,0.182712451010213,0.150853653578758,0.0656586452040759,0.180455367108673,0.164477840858276,1.72722159951372
1,0.5,0.2,0.5,0.4,-0.2,0.933289830982086,0.468323280046192,0.186298826407344,0.449751782188159,0.398486108295772,-0.342912229107714,0.101774708889224,0.0996046278860113,0.0698632093833812,0.0608787000395509,0.0613117603861521,0.0405462563387525,0.148738611298295,0.137049410196216,0.0846175936760901,0.179738113211148,0.139796769210025,1.2496708161461
1,0.5,0.2,0.5,0.4,-0.2,0.859537146063177,0.457198871365697,0.182963294236379,0.58033957319949,0.503548717128723,-0.0048228670948118,0.0932630705531066,0.0803653762403907,0.0564743830053579,0.0614628948608329,0.0505205231542316,0.0223889238615382,0.161177605524283,0.143537437384062,0.0746802003529924,0.280362993542581,0.160440332518926,1.7228183920684
1,0.5,0.2,0.5,0.4,-0.2,1.06402697318682,0.473874592278018,0.163017622106259,0.666207376115659,0.467024133800601,-0.0863457642600119,0.0635008282582855,0.082857950071775,0.0530619252232698,0.0466722151599538,0.0707085599569988,0.0224379116135381,0.123958594067258,0.110658008925793,0.0687477015521222,0.170845083567487,0.143197148750509,1.08161581640569
1,0.5,0.2,0.5,0.4,-0.2,1.00181344106019,0.502642510049994,0.212969756911119,0.863987350726313,0.347764306515699,0.522926744040136,0.0795876592079088,0.0674162942647826,0.0641909744022948,0.0922881108117306,0.0826173929555214,0.264690835028576,0.101652084857088,0.0872492244583473,0.0702897078688786,0.184364996449474,0.176299114356339,0.508491581453154
1,0.5,0.2,0.5,0.4,-0.2,1.10955022638598,0.65248921202054,0.0767894015169339,1.07640423043698,-0.205211407661948,0.854256596219466,0.0550960172247343,0.0586683304550768,0.0449750109222171,0.0988054700767451,0.0979032221096853,0.0682200781627922,0.11044715532497,0.127637546449282,0.081140543477441,0.26062890737427,0.238042978619967,0.376268346966572
1,0.5,0.2,0.5,0.4,-0.2,0.906509920843042,0.501711522040264,0.0687659086418498,0.670666161639962,0.237239920626594,0.0982122697326984,0.0787304852992813,0.0749788643303367,0.0693651618458426,0.0647460691725219,0.0577883069834406,0.0810643267060486,0.12803683742138,0.118031292973272,0.0739101383525864,0.24075490858375,0.154211157523129,1.21131667194933
1,0.5,0.2,0.5,0.4,-0.2,1.07078699383988,0.527272207462602,0.117466758845358,0.458881975293027,0.75720390085897,-1.92281879961583,0.113874689360662,0.0894732271358712,0.039940426892748,0.0598316263098789,0.0743720532362122,0.954217505180598,0.0635440784080199,NA,0.104271902470494,NA,NA,NA
1,0.5,0.2,0.5,0.4,-0.2,1.0388801992096,0.615022996094506,0.0939394645253337,0.52154817465987,0.345274457624097,-0.166222228141982,0.100128331919701,0.0812932986181081,0.0507147949813663,0.0691405356543208,0.046548377045395,0.00878009403309807,0.134932962263173,0.121667887951643,0.0912322718383482,0.156733574587106,0.157879159204878,0.838764861275017
1,0.5,0.2,0.5,0.4,-0.2,1.12620606469475,0.391248579716988,0.0970920403694113,0.474311506309615,0.456115325165231,0.446095367736956,0.117536799550934,0.0892190964235436,0.0552062745761013,0.0801993984593944,0.052035737792348,0.0179406035650101,0.166481293218439,0.14391536993791,0.113591160753909,0.363599184297648,0.204843006731282,1.39701357954904
1,0.5,0.2,0.5,0.4,-0.2,0.958171109301313,0.500554528283473,0.0870620358692604,0.993128489310656,-0.0291283860566673,0.764453864771729,0.0625583520652102,0.0646824296842154,0.0496086468597078,0.0907044522435875,0.0780394277194465,0.0719352620696943,0.0974009943026218,0.0975611028063044,0.0815877525671035,0.203686565511454,0.172865423866626,0.294775233413
