"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
-1,-0.5,-0.2,0.25,0.7,0.3,-1.08158533825556,-0.440240198038728,-0.22732316814676,0.085477437454798,0.611376814654203,0.464184215872811,0.031851456971402,0.0315393331281872,0.0310688659227795,0.0893012889572267,0.0881437692193877,0.049569629698412,0.0487085589372675,0.0347679267472145,0.0316118731517776,0.214300564501379,0.123756532908993,0.134308722433331
-1,-0.5,-0.2,0.25,0.7,0.3,-0.912324212242032,-0.532024802955703,-0.210417886124697,0.284995211580462,0.630711675192037,0.180715913852515,0.035572361695832,0.0341877954150856,0.0336113110495965,0.0972289960363296,0.0926357750584177,0.0489695558748268,0.0639401742112856,0.0372855046729903,0.0355418170462408,0.226433216140218,0.130783315709228,0.146950094647198
-1,-0.5,-0.2,0.25,0.7,0.3,-0.976801478583563,-0.484450310951438,-0.175008024505169,0.134043414488365,0.570448702240939,0.308189844291282,0.0342823341573196,0.0336956845512775,0.0336023770347842,0.0907406980538491,0.0902564711568569,0.0500207980318879,0.0565555440027025,0.0366376691355724,0.0335484076245868,0.206216795442227,0.127492723907797,0.139223527896397
-1,-0.5,-0.2,0.25,0.7,0.3,-1.04683170487815,-0.459287945057359,-0.231851163279147,0.271824418810643,0.5955299377742,0.310246026563917,0.0325332374463753,0.0310926211268848,0.0310336648223817,0.0951431622155711,0.0934087858557924,0.0483665377118229,0.05326120123691,0.0333880667832959,0.0330094174123843,0.204386316569861,0.131483215322681,0.128104575895681
-1,-0.5,-0.2,0.25,0.7,0.3,-1.02282483637406,-0.476445304492155,-0.217551612758286,0.437373397577974,0.617049649964854,0.229549422236091,0.0322139171714679,0.0313355774614468,0.0297563480814292,0.102495270238087,0.100140150657599,0.045730730163892,0.0563115468464744,0.0350923727341734,0.030518829380082,0.217104045606739,0.136734731996856,0.128756608101574
-1,-0.5,-0.2,0.25,0.7,0.3,-1.00944884314025,-0.426446494727582,-0.245567141890246,0.0250797033337669,0.488918034625641,0.296803144604623,0.0348727748665292,0.0343678611497328,0.0337635170332784,0.0851843773457386,0.0839930795762838,0.0520730896205696,0.0586252677345853,0.0376188315671339,0.0356004112934804,0.195478412047909,0.109269875082746,0.144298564403857
-1,-0.5,-0.2,0.25,0.7,0.3,-1.13312351981184,-0.478726269272733,-0.163329279605441,0.351424343933314,0.913399124320919,0.450228213087051,0.0303654116274429,0.029839423567581,0.0265458356655721,0.102375852785134,0.0994424035927184,0.0443702635292658,0.0472816704988545,0.0329082292643473,0.0280570983695284,0.236346417175013,0.156022603599224,0.121468008995649
-1,-0.5,-0.2,0.25,0.7,0.3,-0.96295331436586,-0.47270307128181,-0.210398493225852,0.459331044434772,0.824176932578498,0.160249215962752,0.0347148354925993,0.0343354964268445,0.0314130241965005,0.109188825828349,0.0990795951168429,0.0466175314624543,0.0638900346467282,0.0377076863773131,0.0322757878045937,0.273466168988845,0.15657440644827,0.14926026786286
-1,-0.5,-0.2,0.25,0.7,0.3,-0.958831083147961,-0.51278703937455,-0.185321496119042,0.423319606463216,0.821111167936916,0.263742265351244,0.0337032453845053,0.0348910747327928,0.029987118166885,0.10467055147117,0.0962250981277015,0.0456713291851291,0.0568912442380942,0.0379201912050043,0.0316148698727948,0.233106669771152,0.145913058676552,0.127400988605846
-1,-0.5,-0.2,0.25,0.7,0.3,-1.03690675630592,-0.552155627858263,-0.189393405776258,-0.266627809001749,0.451323017731439,0.580352254979349,0.0329554610301403,0.0323733843512735,0.031135893636349,0.0749768140228309,0.073934791941493,0.0545819517931742,0.0477424701875743,0.0346801377269178,0.0332602757305321,0.183653366494569,0.0945797566793997,0.1449065144482
