"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
1,0.5,0.2,0.5,0.4,-0.693147180559945,0.786848431560956,0.557548079631487,0.211529762544885,0.278368660502872,0.317322188691864,-0.391651755695172,0.0922178054068784,0.0465960557768594,0.0423691421552656,0.190807856329662,0.115660127680545,0.161788159789083
1,0.5,0.2,0.5,0.4,-0.693147180559945,1.11333102645336,0.447701052686971,0.188351887594866,0.540627657659451,0.367086691837474,-0.800201212624602,0.131590848762068,0.049372159587292,0.0454732020806584,0.206262013930976,0.125758429985817,0.193985622680162
1,0.5,0.2,0.5,0.4,-0.693147180559945,1.06938807117475,0.506253231444981,0.230034112822624,0.442418141351473,0.320983195342766,-0.74441214215818,0.130179257249336,0.049742980112319,0.0468726304144739,0.207066871189999,0.129214283520497,0.199595407236495
1,0.5,0.2,0.5,0.4,-0.693147180559945,1.02387176878768,0.565156773575896,0.163919626041026,0.605684936250406,0.314721967731252,-0.776948440563615,0.128208775684611,0.0470614885543922,0.0451770121651371,0.207230528388607,0.138102428806627,0.188128100104161
1,0.5,0.2,0.5,0.4,-0.693147180559945,1.19267250848369,0.475155845803736,0.173614528408596,1.03230042180503,0.405613416275384,-0.962774785544074,0.153527469921806,0.0559297703959943,0.0415239005618447,0.306401983569708,0.216316319191737,0.215365039567074
1,0.5,0.2,0.5,0.4,-0.693147180559945,1.04881716027595,0.57152713961538,0.125027371047895,0.315183247298505,0.2307117398111,-0.745367382649055,0.13154947007024,0.0528676909868877,0.0475008787278941,0.185784029465263,0.111559068675231,0.199680798441189
1,0.5,0.2,0.5,0.4,-0.693147180559945,0.728681184521439,0.511161071238889,0.269419098402091,0.520459885788416,0.580730592738176,-0.438735775823084,0.0941136899243321,0.0464224067141409,0.0400138310028222,0.220130162082951,0.141498346405346,0.160081069771904
1,0.5,0.2,0.5,0.4,-0.693147180559945,1.12476469334881,0.523721129855632,0.191608042691659,0.693984057218483,0.501971860342613,-0.903370153562879,0.148373246213828,0.0513304633752695,0.0447411882419332,0.249634534924237,0.1452494429636,0.215865310890924
1,0.5,0.2,0.5,0.4,-0.693147180559945,0.978730716961652,0.459987425103885,0.224189271921533,0.484030534417903,0.441876310794329,-0.599349300723361,0.112364083772586,0.0509877827904546,0.0442200759265089,0.209709442473129,0.13040490935813,0.177342812362155
1,0.5,0.2,0.5,0.4,-0.693147180559945,0.896404164502483,0.448763342984308,0.225330851676897,0.0968194850981726,0.218311284389928,-0.432297485906855,0.0993830634444664,0.047917213902583,0.0462011362920414,0.174292236493492,0.100037503722488,0.173719559242855
